,AVAILABLE BIKES
2021-06-02,566.0
2021-06-03,580.0
2021-06-04,555.0
2021-06-05,301.0
2021-06-06,441.0
2021-06-07,371.0
2021-06-08,548.0
2021-06-09,623.0
2021-06-10,756.0
2021-06-11,591.0
2021-06-12,504.0
2021-06-13,518.0
2021-06-14,519.0
2021-06-15,549.0
2021-06-16,719.0
2021-06-17,513.0
2021-06-18,599.0
2021-06-19,413.0
2021-06-20,467.0
2021-06-21,569.0
2021-06-22,589.0
2021-06-23,610.0
2021-06-24,669.0
2021-06-25,557.0
2021-06-26,424.0
2021-06-27,574.0
2021-06-28,604.0
2021-06-29,690.0
2021-06-30,818.0
2021-07-01,588.0
2021-07-02,537.0
2021-07-03,527.0
2021-07-04,467.0
2021-07-05,603.0
2021-07-06,846.0
2021-07-07,496.0
2021-07-08,559.0
2021-07-09,13.0
2021-07-10,491.0
2021-07-11,363.0
2021-07-12,628.0
2021-07-13,573.0
2021-07-14,600.0
2021-07-15,731.0
2021-07-16,604.0
2021-07-17,551.0
2021-07-18,396.0
2021-07-19,43.0
2021-07-20,597.0
2021-07-21,569.0
2021-07-22,683.0
2021-07-23,532.0
2021-07-24,633.0
2021-07-25,535.0
2021-07-26,1534.0
2021-07-27,2082.0
2021-07-28,523.0
2021-07-29,737.0
2021-07-30,510.0
2021-07-31,511.0
2021-08-01,445.0
2021-08-02,401.0
2021-08-03,655.0
2021-08-04,688.0
2021-08-05,754.0
2021-08-06,510.0
2021-08-07,399.0
2021-08-08,485.0
2021-08-09,504.0
2021-08-10,592.0
2021-08-11,594.0
2021-08-12,638.0
2021-08-13,643.0
2021-08-14,432.0
2021-08-15,386.0
2021-08-16,633.0
2021-08-17,1963.0
2021-08-18,585.0
2021-08-19,598.0
2021-08-20,638.0
2021-08-21,535.0
2021-08-22,477.0
2021-08-23,544.0
2021-08-24,642.0
2021-08-25,701.0
2021-08-26,700.0
2021-08-27,647.0
2021-08-28,509.0
2021-08-29,375.0
2021-08-30,510.0
2021-08-31,513.0
2021-09-01,592.0
2021-09-02,801.0
2021-09-03,468.0
2021-09-04,638.0
2021-09-05,518.0
2021-09-06,686.0
2021-09-07,656.0
2021-09-08,742.0
2021-09-09,835.0
2021-09-10,591.0
2021-09-11,430.0
2021-09-12,572.0
2021-09-13,826.0
2021-09-14,782.0
2021-09-15,732.0
2021-09-16,630.0
2021-09-17,685.0
2021-09-18,632.0
2021-09-19,599.0
2021-09-20,903.0
2021-09-21,727.0
2021-09-22,773.0
2021-09-23,608.0
2021-09-24,695.0
2021-09-25,712.0
2021-09-26,565.0
2021-09-27,680.0
2021-09-28,717.0
2021-09-29,763.0
2021-09-30,679.0
2021-10-01,1212.0
2021-10-02,426.0
2021-10-03,3045.0
2021-10-04,681.0
2021-10-05,708.0
2021-10-06,761.0
2021-10-07,828.0
2021-10-08,719.0
2021-10-09,641.0
2021-10-10,464.0
2021-10-11,799.0
2021-10-12,886.0
2021-10-13,793.0
2021-10-14,790.0
2021-10-15,846.0
2021-10-16,460.0
2021-10-17,559.0
2021-10-18,873.0
2021-10-19,850.0
2021-10-20,1392.0
2021-10-21,1676.0
2021-10-22,709.0
2021-10-23,450.0
2021-10-24,397.0
2021-10-25,487.0
2021-10-26,845.0
2021-10-27,690.0
2021-10-28,735.0
2021-10-29,632.0
2021-10-30,571.0
2021-10-31,512.0
2021-11-01,665.0
2021-11-02,880.0
2021-11-03,788.0
2021-11-04,723.0
2021-11-05,686.0
2021-11-06,553.0
2021-11-07,527.0
2021-11-08,655.0
2021-11-09,349.0
2021-11-11,861.0
2021-11-12,720.0
2021-11-13,583.0
2021-11-14,484.0
2021-11-15,904.0
2021-11-16,780.0
2021-11-17,759.0
2021-11-18,755.0
2021-11-19,306.0
2021-11-21,519.0
2021-11-22,594.0
2021-11-23,833.0
2021-11-24,544.0
2021-11-25,778.0
2021-11-26,756.0
2021-11-27,541.0
2021-11-28,496.0
2021-11-29,44.0
2021-12-01,698.0
2021-12-02,714.0
2021-12-03,638.0
2021-12-04,472.0
2021-12-05,547.0
2021-12-06,590.0
2021-12-07,451.0
2021-12-08,485.0
2021-12-09,645.0
2021-12-10,626.0
2021-12-11,438.0
2021-12-12,495.0
2021-12-13,601.0
2021-12-14,596.0
2021-12-15,651.0
2021-12-16,642.0
2021-12-17,727.0
2021-12-18,582.0
2021-12-19,534.0
2021-12-20,823.0
2021-12-21,532.0
2021-12-22,494.0
2021-12-23,526.0
2021-12-24,508.0
2021-12-25,75.0
2021-12-26,145.0
2021-12-27,379.0
2021-12-28,406.0
2021-12-29,414.0
2021-12-30,260.0
2021-12-31,406.0
2022-01-01,276.0
2022-01-02,416.0
2022-01-03,275.0
2022-01-04,543.0
2022-01-05,462.0
2022-01-06,534.0
2022-01-07,736.0
2022-01-08,321.0
2022-01-09,365.0
2022-01-10,557.0
2022-01-11,518.0
2022-01-12,532.0
2022-01-13,518.0
2022-01-14,719.0
2022-01-15,359.0
2022-01-16,325.0
2022-01-17,681.0
2022-01-18,648.0
