,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
35,heavy_ball,relu,35,[0.164692930918157],[0.00953861686847897],-3.84376357097245,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0173596032252838],-3.84376357097245
36,heavy_ball,relu,36,[0.164692930918157],[0.00953861686847897],-3.85938721387520,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0156236429027554],-3.85938721387520
37,heavy_ball,relu,37,[0.164692930918157],[0.00953861686847897],-3.87344849248768,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0140612786124799],-3.87344849248768
38,heavy_ball,relu,38,[0.164692930918157],[0.00953861686847897],-3.88610364323891,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0126551507512319],-3.88610364323891
39,heavy_ball,relu,39,[0.164692930918157],[0.00953861686847897],-3.89749327891502,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0113896356761087],-3.89749327891502
40,heavy_ball,relu,40,[0.164692930918157],[0.00953861686847897],-3.90774395102352,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0102506721084978],-3.90774395102352
41,heavy_ball,relu,41,[0.164692930918157],[0.00953861686847897],-3.91696955592117,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00922560489764805],-3.91696955592117
42,heavy_ball,relu,42,[0.164692930918157],[0.00953861686847897],-3.92527260032905,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00830304440788324],-3.92527260032905
43,heavy_ball,relu,43,[0.164692930918157],[0.00953861686847897],-3.93274534029615,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00747273996709492],-3.93274534029615
44,heavy_ball,relu,44,[0.164692930918157],[0.00953861686847897],-3.93947080626653,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00672546597038543],-3.93947080626653
45,heavy_ball,relu,45,[0.164692930918157],[0.00953861686847897],-3.94552372563988,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00605291937334688],-3.94552372563988
46,heavy_ball,relu,46,[0.164692930918157],[0.00953861686847897],-3.95097135307589,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00544762743601220],-3.95097135307589
47,heavy_ball,relu,47,[0.164692930918157],[0.00953861686847897],-3.95587421776830,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00490286469241098],-3.95587421776830
48,heavy_ball,relu,48,[0.164692930918157],[0.00953861686847897],-3.96028679599147,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00441257822316988],-3.96028679599147
49,heavy_ball,relu,49,[0.164692930918157],[0.00953861686847897],-3.96425811639233,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00397132040085289],-3.96425811639233
50,heavy_ball,relu,50,[0.164692930918157],[0.00953861686847897],-3.96783230475309,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00357418836076760],-3.96783230475309
51,heavy_ball,relu,51,[0.164692930918157],[0.00953861686847897],-3.97104907427778,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00321676952469084],-3.97104907427778
52,heavy_ball,relu,52,[0.164692930918157],[0.00953861686847897],-3.97394416685001,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00289509257222176],-3.97394416685001
53,heavy_ball,relu,53,[0.164692930918157],[0.00953861686847897],-3.97654975016500,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00260558331499958],-3.97654975016500
54,heavy_ball,relu,54,[0.164692930918157],[0.00953861686847897],-3.97889477514850,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00234502498349962],-3.97889477514850
55,heavy_ball,relu,55,[0.164692930918157],[0.00953861686847897],-3.98100529763365,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00211052248514966],-3.98100529763365
56,heavy_ball,relu,56,[0.164692930918157],[0.00953861686847897],-3.98290476787029,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00189947023663470],-3.98290476787029
57,heavy_ball,relu,57,[0.164692930918157],[0.00953861686847897],-3.98461429108326,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00170952321297123],-3.98461429108326
58,heavy_ball,relu,58,[0.164692930918157],[0.00953861686847897],-3.98615286197493,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00153857089167410],-3.98615286197493
59,heavy_ball,relu,59,[0.164692930918157],[0.00953861686847897],-3.98753757577744,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00138471380250669],-3.98753757577744
60,heavy_ball,relu,60,[0.164692930918157],[0.00953861686847897],-3.98878381819970,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00124624242225602],-3.98878381819970
61,heavy_ball,relu,61,[0.164692930918157],[0.00953861686847897],-3.98990543637973,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00112161818003042],-3.98990543637973
62,heavy_ball,relu,62,[0.164692930918157],[0.00953861686847897],-3.99091489274175,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.00100945636202738],-3.99091489274175
63,heavy_ball,relu,63,[0.164692930918157],[0.00953861686847897],-3.99182340346758,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.000908510725824641],-3.99182340346758
