,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
45,adam,relu,45,[1000.00000000000],[192.529029025432],-1573.86878755189,0.0001,False,[0],[0.0190848753762817],[3.38813098122363e-21],0.9,0.25,0.1,[0],[0],-1573.86878755189
46,adam,relu,46,[1000.00000000000],[173.123744356853],-1591.18116198757,0.0001,False,[0],[0.0171763878386535],[8.47032745305909e-22],0.9,0.25,0.1,[0],[0],-1591.18116198757
47,adam,relu,47,[1000.00000000000],[155.688128707877],-1606.74997485836,0.0001,False,[0],[0.0154587490547881],[2.11758186326477e-22],0.9,0.25,0.1,[0],[0],-1606.74997485836
48,adam,relu,48,[1000.00000000000],[140.019632245710],-1620.75193808293,0.0001,False,[0],[0.0139128741493093],[5.29395465816193e-23],0.9,0.25,0.1,[0],[0],-1620.75193808293
49,adam,relu,49,[1000.00000000000],[125.937030729186],-1633.34564115585,0.0001,False,[0],[0.0125215867343784],[1.32348866454048e-23],0.9,0.25,0.1,[0],[0],-1633.34564115585
50,adam,relu,50,[1000.00000000000],[113.278088362846],-1644.67344999213,0.0001,False,[0],[0.0112694280609406],[3.30872166135121e-24],0.9,0.25,0.1,[0],[0],-1644.67344999213
51,adam,relu,51,[1000.00000000000],[101.897492720515],-1654.86319926419,0.0001,False,[0],[0.0101424852548465],[8.27180415337801e-25],0.9,0.25,0.1,[0],[0],-1654.86319926419
52,adam,relu,52,[1000.00000000000],[91.6650278463074],-1664.02970204882,0.0001,False,[0],[0.00912823672936185],[2.06795103834450e-25],0.9,0.25,0.1,[0],[0],-1664.02970204882
53,adam,relu,53,[1000.00000000000],[82.4639558814316],-1672.27609763696,0.0001,False,[0],[0.00821541305642567],[5.16987759586126e-26],0.9,0.25,0.1,[0],[0],-1672.27609763696
54,adam,relu,54,[1000.00000000000],[74.1895814746384],-1679.69505578442,0.0001,False,[0],[0.00739387175078310],[1.29246939896531e-26],0.9,0.25,0.1,[0],[0],-1679.69505578442
55,adam,relu,55,[1000.00000000000],[66.7479766809552],-1686.36985345252,0.0001,False,[0],[0.00665448457570479],[3.23117349741329e-27],0.9,0.25,0.1,[0],[0],-1686.36985345252
56,adam,relu,56,[1000.00000000000],[60.0548470333637],-1692.37533815586,0.0001,False,[0],[0.00598903611813431],[8.07793374353322e-28],0.9,0.25,0.1,[0],[0],-1692.37533815586
57,adam,relu,57,[1000.00000000000],[54.0345220276129],-1697.77879035862,0.0001,False,[0],[0.00539013250632088],[2.01948343588330e-28],0.9,0.25,0.1,[0],[0],-1697.77879035862
58,adam,relu,58,[1000.00000000000],[48.6190554465392],-1702.64069590327,0.0001,False,[0],[0.00485111925568879],[5.04870858970826e-29],0.9,0.25,0.1,[0],[0],-1702.64069590327
59,adam,relu,59,[1000.00000000000],[43.7474228212085],-1707.01543818539,0.0001,False,[0],[0.00436600733011991],[1.26217714742707e-29],0.9,0.25,0.1,[0],[0],-1707.01543818539
60,adam,relu,60,[1000.00000000000],[39.3648049302951],-1710.95191867842,0.0001,False,[0],[0.00392940659710792],[3.15544286856766e-30],0.9,0.25,0.1,[0],[0],-1710.95191867842
61,adam,relu,61,[1000.00000000000],[35.4219476178984],-1714.49411344021,0.0001,False,[0],[0.00353646593739713],[7.88860717141916e-31],0.9,0.25,0.1,[0],[0],-1714.49411344021
62,adam,relu,62,[1000.00000000000],[31.8745893984510],-1717.68157238006,0.0001,False,[0],[0.00318281934365742],[1.97215179285479e-31],0.9,0.25,0.1,[0],[0],-1717.68157238006
63,adam,relu,63,[1000.00000000000],[28.6829493447430],-1720.54986731453,0.0001,False,[0],[0.00286453740929168],[4.93037948213697e-32],0.9,0.25,0.1,[0],[0],-1720.54986731453
64,adam,relu,64,[1000.00000000000],[25.8112686457484],-1723.13099417911,0.0001,False,[0],[0.00257808366836251],[1.23259487053424e-32],0.9,0.25,0.1,[0],[0],-1723.13099417911
65,adam,relu,65,[1000.00000000000],[23.2273999952381],-1725.45373417863,0.0001,False,[0],[0.00232027530152626],[3.08148717633561e-33],0.9,0.25,0.1,[0],[0],-1725.45373417863
66,adam,relu,66,[1000.00000000000],[20.9024396470772],-1727.54397814334,0.0001,False,[0],[0.00208824777137363],[7.70371794083902e-34],0.9,0.25,0.1,[0],[0],-1727.54397814334
67,adam,relu,67,[1000.00000000000],[18.8103975628792],-1729.42501789962,0.0001,False,[0],[0.00187942299423627],[1.92592948520976e-34],0.9,0.25,0.1,[0],[0],-1729.42501789962
68,adam,relu,68,[1000.00000000000],[16.9279015942869],-1731.11780805905,0.0001,False,[0],[0.00169148069481264],[4.81482371302439e-35],0.9,0.25,0.1,[0],[0],-1731.11780805905
69,adam,relu,69,[1000.00000000000],[15.2339320956498],-1732.64120126862,0.0001,False,[0],[0.00152233262533138],[1.20370592825610e-35],0.9,0.25,0.1,[0],[0],-1732.64120126862
70,adam,relu,70,[1000.00000000000],[13.7095837618142],-1734.01215964480,0.0001,False,[0],[0.00137009936279824],[3.00926482064024e-36],0.9,0.25,0.1,[0],[0],-1734.01215964480
71,adam,relu,71,[1000.00000000000],[12.3378518373680],-1735.24594482854,0.0001,False,[0],[0.00123308942651842],[7.52316205160061e-37],0.9,0.25,0.1,[0],[0],-1735.24594482854
72,adam,relu,72,[1000.00000000000],[11.1034401541682],-1736.35628884395,0.0001,False,[0],[0.00110978048386657],[1.88079051290015e-37],0.9,0.25,0.1,[0],[0],-1736.35628884395
73,adam,relu,73,[1000.00000000000],[9.99258872858343],-1737.35554771681,0.0001,False,[0],[0.000998802435479917],[4.70197628225038e-38],0.9,0.25,0.1,[0],[0],-1737.35554771681
