,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
31,adam,f,31,,[0.211030395828124 0.168359295084462],1.28577211815394,0.0001,False,[2.29963305658042 6.66205335326762],[0.469040089299825 1.06337678167351],[5.33924017080350 43.1195348939772],0.9,0.5,0.1,,,5.55543207756622,9.31626673815494
32,adam,f,32,,[0.297212457081170 0.255320479047116],1.07441084721205,0.0001,False,[2.05624149597865 6.32533476309871],[0.627760229967708 1.58957257981603],[4.78368463029401 41.5646973796211],0.9,0.5,0.1,,,5.52571083185810,9.29073469025022
33,adam,f,33,,[0.385715194892948 0.338198984303357],0.828992678232111,0.0001,False,[1.74350028325053 5.81469380500448],[0.739334235295990 2.01208470233487],[3.91173893399434 37.6876807127893],0.9,0.5,0.1,,,5.48713931236880,9.25691479181989
34,adam,f,34,,[0.484173204805360 0.422407001109601],0.571991827121642,0.0001,False,[1.38720543699947 5.13829583639776],[0.804121355466338 2.32470581574116],[2.91803892921762 32.0448824075659],0.9,0.5,0.1,,,5.43872199188827,9.21467409170893
35,adam,f,35,,[0.602494622261630 0.514795007876026],0.327879088960543,0.0001,False,[1.01332664116294 4.29348183417855],[0.825041884035998 2.52158341758490],[1.97243490545409 25.2394343339936],0.9,0.5,0.1,,,5.37847252966211,9.16319459092133
36,adam,f,36,,[0.754834076562457 0.626863258577890],0.126302159834296,0.0001,False,[0.650555473135256 3.26389181842649],[0.807593242945924 2.59581425766906],[1.19782866454016 17.9462120681925],0.9,0.5,0.1,,,5.30298912200586,9.10050826506354
37,adam,f,37,,[0.958920739636376 0.781049128791760],0.0105375490547362,0.0001,False,[0.333781572171232 2.01016530127075],[0.760212075868455 2.53724936202923],[0.654619401230631 10.9934883033127],0.9,0.5,0.1,,,5.20709704804222,9.02240335218436
38,adam,f,38,,[1.22630384303116 1.00240228026705],0.0607385007002986,0.0001,False,[0.106586689012510 0.448067043687217],[0.694849537182860 2.32833113019503],[0.332990061752640 5.59712618947564],0.9,0.5,0.1,,,5.08446666373911,8.92216312415766
39,adam,f,39,,[1.55950143283491 0.984793414028541],0.310952417498008,0.0001,False,[0.00723164782762270 -1.55673751684688],[0.626087748247336 1.93982426549084],[0.166521179241472 4.01027894291712],0.9,0.5,0.1,,,4.92851652045562,8.82368378275480
40,adam,f,40,,[1.97975591401969 0.493132108761663],0.524902236507702,0.0001,False,[-0.00438327076128406 -3.52632434490397],[0.563040646346474 1.39320940445136],[0.0832701961520191 8.22262116418976],0.9,0.5,0.1,,,4.73054092905365,8.77437057187864
41,adam,f,41,,[1.86119122466016 0.215158006255901],0.740040504317130,0.0001,False,[-0.234779228005495 -4.51258856242728],[0.483258658911278 0.802629607763492],[0.0691957410274376 14.2930383489696],0.9,0.5,0.1,,,4.54442180658763,8.75285477125305
42,adam,f,42,,[0.394993568743993 0.0524588068857631],0.817237370071954,0.0001,False,[-1.13467119596143 -4.94290457493906],[0.321465673424007 0.228076189493237],[0.678337231985987 19.3626719929616],0.9,0.5,0.1,,,4.50492244971323,8.74760889056447
43,adam,f,43,,[0.122795568696000 -0.0639409773740064],0.803926928093519,0.0001,False,[-1.45613267050047 -5.04782218871060],[0.143705839031560 -0.299513648327147],[1.39932979304241 22.4215904209003],0.9,0.5,0.1,,,4.49264289284363,8.75400298830187
44,adam,f,44,,[-0.0199148725442836 -0.159264741355243],0.725003436182358,0.0001,False,[-1.56719302949004 -4.91994023396259],[-0.0273840478206000 -0.761556306890691],[1.92771189236228 23.3137011633321],0.9,0.5,0.1,,,4.49463438009806,8.76992946243739
45,adam,f,45,,[-0.123126634396773 -0.245024126102502],0.599877146362916,0.0001,False,[-1.54881065060868 -4.60141075125210],[-0.179526708099408 -1.14554175132683],[2.16326316190058 22.2433410325353],0.9,0.5,0.1,,,4.50694704353774,8.79443187504764
46,adam,f,46,,[-0.211598861558688 -0.328537840523404],0.447065684256190,0.0001,False,[-1.43834129032111 -4.11136249904712],[-0.305408166321578 -1.44212382609886],[2.11604441467159 19.5733213155531],0.9,0.5,0.1,,,4.52810692969361,8.82728565909999
47,adam,f,47,,[-0.296627402656757 -0.416984682369064],0.286391723452029,0.0001,False,[-1.26099117017620 -3.45428681800030],[-0.400966466707040 -1.64334012528900],[1.85307157296696 15.7527093682819],0.9,0.5,0.1,,,4.55776966995928,8.86898412733689
48,adam,f,48,,[-0.386308132557792 -0.521012191723951],0.141877193389398,0.0001,False,[-1.03783143543960 -2.62031745326215],[-0.464652963580297 -1.74103785808632],[1.46508283067680 11.3093864620760],0.9,0.5,0.1,,,4.59640048321506,8.92108534650929
49,adam,f,49,,[-0.489307248977331 -0.660353251757192],0.0491281070046983,0.0001,False,[-0.788920350231455 -1.57829306981426],[-0.497079702245412 -1.72476337925911],[1.04373907484306 6.90019773814989],0.9,0.5,0.1,,,4.64533120811279,8.98712067168501
50,adam,f,50,,[-0.617277162114431 -0.849858286350302],0.0740858456340514,0.0001,False,[-0.535365243427909 -0.257586566299892],[-0.500908256363662 -1.57804569796319],[0.665177509356842 3.48327428864403],0.9,0.5,0.1,,,4.70705892432424,9.07210650032004
51,adam,f,51,,[-0.785745379635445 -0.768622823054415],0.228252020040085,0.0001,False,[-0.301663011225789 1.44213000640070],[-0.480983731849875 -1.27602812752680],[0.378089040849326 2.78150662200266],0.9,0.5,0.1,,,4.78563346228778,9.14896878262548
52,adam,f,52,,[-1.00839184876404 -0.353725497977472],0.340315605586988,0.0001,False,[-0.118209458220993 2.97937565250953],[-0.444706304486987 -0.850487749523169],[0.196031258431113 5.82909295038463],0.9,0.5,0.1,,,4.88647264716419,9.18434133242322
53,adam,f,53,,[-1.28743155197660 -0.127795366834930],0.388566531179298,0.0001,False,[-0.0175583127357890 3.68682664846449],[-0.401991505311867 -0.396756309724403],[0.0981697763886206 9.71089184310626],0.9,0.5,0.1,,,5.01521580236185,9.19712086910672
54,adam,f,54,,[-1.63777950390498 0.0104930243739630],0.387520039666131,0.0001,False,[4.22732678877223e-5 3.94241738213435],[-0.361788127453891 0.0371610594614722],[0.0490848890878249 12.6267733290307],0.9,0.5,0.1,,,5.17899375275234,9.19607156666932
55,adam,f,55,,[-1.94768743258014 0.114078400798493],0.399553850936666,0.0001,False,[0.0688168622012571 3.92143133338641],[-0.318727628488377 0.425588086853966],[0.0269103248055259 14.0021985157477],0.9,0.5,0.1,,,5.37376249601036,9.18466372658947
56,adam,f,56,,[-0.490770102253977 0.202922308906134],0.366080962610118,0.0001,False,[0.626568287428515 3.69327453178943],[-0.224198036896687 0.752356731347512],[0.209749071808314 13.8212376414561],0.9,0.5,0.1,,,5.42283950623576,9.16437149569886
57,adam,f,57,,[-0.154906426205581 0.287339538605904],0.294721064826114,0.0001,False,[0.907210184602272 3.28742991397718],[-0.111057214746792 1.00586404961048],[0.516389695427201 12.3142165403840],0.9,0.5,0.1,,,5.43833014885631,9.13563754183827
58,adam,f,58,,[0.00126844966838946 0.375957919401664],0.206739348842444,0.0001,True,[1.01061391789538 2.71275083676534],[0.00110989851742516 1.17655272832596],[0.768865093235521 9.83661682137753],0.9,0.5,0.1,,,5.43820330388948,9.09804174989810
